crd,website_input,website_final,http_status,display_name,adv_official_name,display_vs_adv_similarity,best_brand_candidate,best_brand_source,brand_match_to_display,brand_match_to_adv,best_legal_candidate,legal_match_to_adv,score,status,evidence_json
16986,https://www.huntington.com/private-bank,https://www.huntington.com/private-bank,403.0,THE HUNTINGTON INVESTMENT COMPANY,,0,,,0,0,,0,0,Needs Review,"{""candidates"": {""title"": [], ""og_site_name"": [], ""og_title"": [], ""h1"": [], ""h2"": [], ""logo_alt"": [], ""footer_text_snippet"": [], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": null, ""source"": null, ""match_to_display"": 0, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
17530,https://bokfinancial.com/,https://www.bokfinancial.com/,200.0,BOK FINANCIAL SECURITIES,,0,BOK Financial,title,70,0,,0,0,Needs Review,"{""candidates"": {""title"": [""BOK Financial""], ""og_site_name"": [], ""og_title"": [""BOK Financial""], ""h1"": [], ""h2"": [""Your extra cash deserves a strategy"", ""2026 Market Outlook"", ""New Car or New Rate""], ""logo_alt"": [""BOK Financial"", ""FDIC""], ""footer_text_snippet"": [""About About Us Corporate Responsibility Investor Relations Careers Community Locations & Appointments Contact Us Locations Schedule an Appointment Information & Resources Documents and Forms The Statement Financial Calculators Routing Numbe""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""BOK Financial"", ""source"": ""title"", ""match_to_display"": 70, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
21572,https://marquetteassociates.com/,https://www.marquetteassociates.com/,200.0,MARQUETTE ASSOCIATES,,0,Marquette Associates,og_site_name,100,0,,0,50,Likely,"{""candidates"": {""title"": [""Investment Consulting — Marquette Associates""], ""og_site_name"": [""Marquette Associates""], ""og_title"": [""Investment Consulting — Marquette Associates""], ""h1"": [""Independent Investment Consulting"", ""Independent Expertise"", ""Services""], ""h2"": [""2026 Market Preview"", ""Chart of the Week"", ""Updates""], ""logo_alt"": [], ""footer_text_snippet"": [""© 2026 Marquette Associates. All Rights Reserved. Terms of Use Form CRS, ADV, Privacy Policy & Disclosures Environmental Policy Chicago 180 North LaSalle Street Suite 3500 Chicago, Illinois 60601 Tel: 312.527.5500 Fax: 312.527.9064 Baltimor""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Marquette Associates"", ""source"": ""og_site_name"", ""match_to_display"": 100, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
23131,https://osaic.com/,https://osaic.com/,200.0,OSAIC WEALTH,,0,Empowering Wealth | Osaic,title,68,0,,0,0,Needs Review,"{""candidates"": {""title"": [""Empowering Wealth | Osaic""], ""og_site_name"": [], ""og_title"": [], ""h1"": [], ""h2"": [""Celebrating you and your incredible work"", ""moments that matter.""], ""logo_alt"": [""Osiac Logo"", ""Osaic Logo""], ""footer_text_snippet"": [""Partnership Growth Community About News Careers Contact Login Linkedin Facebook Osaic Instagram X © 2026 Osaic Disclosures Terms of use Privacy policy Do not sell my personal information Form CRS BrokerCheck Securities and investment adviso""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Empowering Wealth | Osaic"", ""source"": ""title"", ""match_to_display"": 68, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
25536,https://americanwealthmanagement.com/,https://www.americanwealthmanagement.com/,200.0,AMERICAN WEALTH MANAGEMENT,,0,"American Wealth Management, Inc.",title,92,0,,0,50,Likely,"{""candidates"": {""title"": [""American Wealth Management, Inc.""], ""og_site_name"": [], ""og_title"": [], ""h1"": [], ""h2"": [""Phone:"", ""Fax:"", ""E-mail:""], ""logo_alt"": [], ""footer_text_snippet"": [""Site Map Back To Top""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""American Wealth Management, Inc."", ""source"": ""title"", ""match_to_display"": 92, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
38357,https://www.claconnect.com/en/services/wealth-advisory-overview,https://www.claconnect.com/en/services/wealth-advisory-overview,200.0,CLIFTONLARSONALLEN WEALTH ADVISORS,,0,Wealth Advisory Overview: CLA (CliftonLarsonAllen),title,81,0,,0,20,Needs Review,"{""candidates"": {""title"": [""Wealth Advisory Overview: CLA (CliftonLarsonAllen)""], ""og_site_name"": [], ""og_title"": [], ""h1"": [""Wealth Advisory""], ""h2"": [""Experience the CLA Promise""], ""logo_alt"": [""CliftonLarsonAllen logo"", ""CLA Full Logo"", ""CLA Global Logo""], ""footer_text_snippet"": [""Get to Know Us Contact Us Locations Directory About Careers Alumni Global Affiliation Logos Get Started Client Login Pay CLA Bill Online Email Subscriptions Industries Services Resources CLA Blogs Webinars Media Call us at 1-888-529-2648 .""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Wealth Advisory Overview: CLA (CliftonLarsonAllen)"", ""source"": ""title"", ""match_to_display"": 81, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
39326,https://www.bnacpa.com/,https://www.bnacpa.com/,200.0,BNA WEALTH,,0,BNA CPA,og_site_name,58,0,,0,0,Needs Review,"{""candidates"": {""title"": [""Accounting & Tax Services in Rock Hill, SC - BNA CPA""], ""og_site_name"": [""BNA CPA""], ""og_title"": [""Accounting & Tax Services in Rock Hill, SC - BNA CPA""], ""h1"": [""CPAs, Wealth, & Advisors"", ""CPA Services"", ""Wealth Services""], ""h2"": [""Latest Technology"", ""Transparent Pricing"", ""Unlimited Communication""], ""logo_alt"": [], ""footer_text_snippet"": [], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""BNA CPA"", ""source"": ""og_site_name"", ""match_to_display"": 58, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
42057,https://www.arvest.com/wealth,https://www.arvest.com/wealth,200.0,ARVEST INVESTMENTS,,0,,,0,0,,0,0,Needs Review,"{""candidates"": {""title"": [], ""og_site_name"": [], ""og_title"": [], ""h1"": [], ""h2"": [], ""logo_alt"": [], ""footer_text_snippet"": [], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": null, ""source"": null, ""match_to_display"": 0, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
104621,https://www.meetjohnsonfinancial.com/,https://www.meetjohnsonfinancial.com/,200.0,PHILIP O. JOHNSON & COMPANY,,0,"Home | Johnson Financial, LLC",title,52,0,,0,0,Needs Review,"{""candidates"": {""title"": [""Home | Johnson Financial, LLC""], ""og_site_name"": [], ""og_title"": [], ""h1"": [""Where Tomorrow Starts Today""], ""h2"": [""Our Services"", ""Our Team"", ""Blogs""], ""logo_alt"": [], ""footer_text_snippet"": [""Office 1127 N Causeway Blvd Mandeville LA 70471 Contact Info (985) 674-3232 steven@meetjohnsonfinancial.com lane@meetjohnsonfinancial.com You must have JavaScript enabled to use this form. Your Name This field is required. Your Email This f""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Home | Johnson Financial, LLC"", ""source"": ""title"", ""match_to_display"": 52, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
104623,https://avityim.com/,https://avityim.com/,200.0,AVITY INVESTMENT MANAGEMENT,,0,Avity Investment Management,og_site_name,100,0,,0,50,Likely,"{""candidates"": {""title"": [""Avity Investment Management - A Legacy of Trusted Financial Expertise""], ""og_site_name"": [""Avity Investment Management""], ""og_title"": [""Avity Investment Management - A Legacy of Trusted Financial Expertise""], ""h1"": [""Your Future. Our Focus.""], ""h2"": [""Our Approach""], ""logo_alt"": [""logo"", ""2025-SHOOK-Top RIA Firms-Award Logo-Horizontal-Dark-300PPI""], ""footer_text_snippet"": [""Get Directions 80 Field Point Road Greenwich, CT 06830 Email: info@avityim.com Phone: 203-629-2800 Avity LinkedIn Avity Investment Management, Inc. (“Avity”) is a registered investment advisor. Advisory services are only offered to clients""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Avity Investment Management"", ""source"": ""og_site_name"", ""match_to_display"": 100, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
104643,https://capitaladv.com/,https://capitaladv.com/,200.0,CAPITAL ADVISORS,,0,Capital Advisors,og_site_name,100,0,,0,50,Likely,"{""candidates"": {""title"": [""Financial Planning and Wealth Management - Capital Advisors""], ""og_site_name"": [""Capital Advisors""], ""og_title"": [""Financial Planning and Wealth Management - Capital Advisors""], ""h1"": [], ""h2"": [""Discover How Capital Advisors Can Transform Your Future."", ""Our Approach"", ""Our Team""], ""logo_alt"": [""Capital Advisors""], ""footer_text_snippet"": [""Download Our App Connect With Us Our Approach Investment Strategy Financial Planning Our Promise Our Team Portfolio Management Team Wealth Management Team Client Service Team Careers Client Resources Market Overviews Fact Sheets Financial P""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Capital Advisors"", ""source"": ""og_site_name"", ""match_to_display"": 100, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
104692,https://fergusonwellman.com/,https://www.fergusonwellman.com/,200.0,FERGUSON WELLMAN CAPITAL MANAGEMENT,,0,"At Ferguson Wellman,",h2,70,0,Ferguson Wellman + West Bearing Investments,0,0,Needs Review,"{""candidates"": {""title"": [""Ferguson Wellman""], ""og_site_name"": [""Ferguson Wellman""], ""og_title"": [""Ferguson Wellman""], ""h1"": [""Awards, Rankings and Certifications"", ""latest publications""], ""h2"": [""Reflections on Our Internship Program"", ""\""TO COIN A PHRASE\"""", ""At Ferguson Wellman,""], ""logo_alt"": [""Ferguson Wellman Coin""], ""footer_text_snippet"": [""Back to Top ABOUT Team Culture Company History Regulatory Filings and Disclosures Website Design SERVICES Investments Wealth Management West Bearing Octavia Group Institutional Services Client Education Strategies Equities Fixed Income Glob""], ""jsonld_org_name"": [""Ferguson Wellman + West Bearing Investments""], ""jsonld_org_legalName"": [""Ferguson Wellman + West Bearing Investments""]}, ""best_brand"": {""candidate"": ""At Ferguson Wellman,"", ""source"": ""h2"", ""match_to_display"": 70, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
104711,https://tobiasfinancial.com/,https://tobiasfinancial.com/,200.0,TOBIAS FINANCIAL ADVISORS,,0,Tobias Financial Advisors,og_site_name,100,0,,0,50,Likely,"{""candidates"": {""title"": [""Fee Only Financial Advisors in Florida - Tobias Financial Advisors""], ""og_site_name"": [""Tobias Financial Advisors""], ""og_title"": [""Fee Only Financial Advisors in Florida - Tobias Financial Advisors""], ""h1"": [""Begin your journey to financial success.""], ""h2"": [""Integrated Tax, Estate, and Legacy Planning"", ""A Diverse Team to Challenge Thinking"", ""Dedicated to the Success of Our Clients""], ""logo_alt"": [""Tobias Financial Advisors""], ""footer_text_snippet"": [""CALL US 954-424-1660 About Us Tobias Financial Advisors, founded in 1980 in Plantation, Florida, offers tailored wealth management and financial planning services for affluent individuals and business owners, specializing in proactive tax s""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Tobias Financial Advisors"", ""source"": ""og_site_name"", ""match_to_display"": 100, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
104804,https://www.claritiwealth.com/,https://claritiwealth.com/,200.0,SCHIAVI & COMPANY,,0,Send us a Message,h2,31,0,,0,0,Needs Review,"{""candidates"": {""title"": [""Delaware Fee Only Financial Advisor Company | Clariti Wealth""], ""og_site_name"": [""Clariti Wealth Advisors""], ""og_title"": [""Delaware Fee Only Financial Advisor Company | Clariti Wealth""], ""h1"": [""A Fee-Only Wealth Management Firm""], ""h2"": [""Our Leadership Team"", ""Send us a Message"", ""Latest Blogs""], ""logo_alt"": [""clariti wealth advisors delaware logo"", ""clariti wealth advisors logo""], ""footer_text_snippet"": [], ""jsonld_org_name"": [""Clariti Wealth Advisors""], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Send us a Message"", ""source"": ""h2"", ""match_to_display"": 31, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
104920,https://condorcapital.com/,https://www.condorcapital.com/,200.0,CONDOR CAPITAL MANAGEMENT,,0,Condor Capital Wealth Management,og_site_name,87,0,,0,35,Needs Review,"{""candidates"": {""title"": [""Condor Capital Wealth Management""], ""og_site_name"": [""Condor Capital Wealth Management""], ""og_title"": [""Condor Capital Wealth Management""], ""h1"": [""We’ll Help You Achieve Your Financial Goals""], ""h2"": [""Feeling Overwhelmed by Financial Decisions?"", ""Managing your finances shouldn't feel like navigating a maze."", ""Gain Clarity and Confidence in Your Financial Future""], ""logo_alt"": [""Condor Capital Wealth Management""], ""footer_text_snippet"": [""Disclosures Privacy Policy SEC Filings Form CRS © 2026 Condor Capital Wealth Management | All Rights Reserved 1973 Washington Valley Road Martinsville, NJ 08836 (732) 356-7323 Follow Us Download Our App""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Condor Capital Wealth Management"", ""source"": ""og_site_name"", ""match_to_display"": 87, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
104926,https://modernportfolio.com/,https://www.modernportfolio.com/,200.0,MODERN PORTFOLIO MANAGEMENT,,0,"Modern Portfolio Real Estate Services – Relationship-centered, Client-first Real Estate brokerage, that takes pride in their integrity, ethics, and reputation.",title,27,0,,0,0,Needs Review,"{""candidates"": {""title"": [""Modern Portfolio Real Estate Services – Relationship-centered, Client-first Real Estate brokerage, that takes pride in their integrity, ethics, and reputation.""], ""og_site_name"": [], ""og_title"": [], ""h1"": [], ""h2"": [], ""logo_alt"": [], ""footer_text_snippet"": [""https://www.facebook.com/modernportfolioRE @ModPortfolio YouTube LinkedIn Careers With Us Great Schools Mortgage Calculator Mortgage Rates Closing Cost Calculator Privacy Policy – Terms of Service – Contact Us © 2024 Modern Portfolio Inc. C""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Modern Portfolio Real Estate Services – Relationship-centered, Client-first Real Estate brokerage, that takes pride in their integrity, ethics, and reputation."", ""source"": ""title"", ""match_to_display"": 27, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
104942,https://cambridgeassociates.com/,https://www.cambridgeassociates.com/,200.0,CAMBRIDGE ASSOCIATES,,0,Cambridge Associates,og_site_name,100,0,,0,50,Likely,"{""candidates"": {""title"": [""Cambridge Associates - Global Investment Firm""], ""og_site_name"": [""Cambridge Associates""], ""og_title"": [""Cambridge Associates - Global Investment Firm""], ""h1"": [""A Global Investment Partner Since 1973""], ""h2"": [""Who We Are"", ""Learn More"", ""Who We Work With""], ""logo_alt"": [""Cambridge Associates - Home.""], ""footer_text_snippet"": [""Who We Are About Us Leadership Careers Locations News Corporate Social Responsibility Who We Serve Client Stories Endowments & Foundations Private Clients & Family Offices Retirement, Insurance & Government Healthcare Systems Connect With U""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Cambridge Associates"", ""source"": ""og_site_name"", ""match_to_display"": 100, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
104952,https://tothfinancial.com/,https://tothfinancial.com/,200.0,TOTH FINANCIAL ADVISORY,,0,Toth Financial,og_site_name,75,0,,0,20,Needs Review,"{""candidates"": {""title"": [""Home - Toth Financial""], ""og_site_name"": [""Toth Financial""], ""og_title"": [""Home - Toth Financial""], ""h1"": [], ""h2"": [], ""logo_alt"": [""Toth Financial Logo""], ""footer_text_snippet"": [""Working With Us Our Team Privacy Policy Commentaries/News Contact Client Login Schwab Login Disclosures © 2026 Toth Financial Advisory Corporation. All Rights Reserved""], ""jsonld_org_name"": [], ""jsonld_org_legalName"": []}, ""best_brand"": {""candidate"": ""Toth Financial"", ""source"": ""og_site_name"", ""match_to_display"": 75, ""match_to_adv"": 0}, ""best_legal"": {""candidate"": null, ""source"": null, ""match_to_adv"": 0}, ""display_adv_similarity"": 0}"
